time	unit	value	date
1	h	34.2	30.06.01
1	h	20	25.05.02
1	h	13.2	17.07.03
1	h	18	02.07.04
1	h	24.8	04.09.05
1	h	41.8	26.07.06
1	h	16.8	30.04.07
1	h	24.9	01.09.08
1	h	18.5	30.07.09
1	h	12.9	04.04.05
1	h	15.4	04.08.04
1	h	28.4	04.11.52
1	h	16.7	02.05.13
1	h	22.1	31.08.14
1	h	20.3	08.10.15
1	h	25.6	13.06.16
1	h	41.4	13.07.17
1	h	25.1	06.08.18
1	h	26.9	06.08.19
1	h	28	30.07.20
1	h	18	05.08.21
1	h	25.6	25.07.22
3	h	36.6	01.04.31
3	h	25	29.05.36
3	h	32	09.07.37
3	h	28.4	02.07.39
3	h	14	16.07.40
3	h	26	12.08.41
3	h	20.2	08.07.42
3	h	28.3	28.07.50
3	h	38.4	17.09.51
3	h	31	20.08.52
3	h	27.2	02.08.53
3	h	22	10.08.54
3	h	30.8	02.02.96
3	h	23.2	02.06.14
3	h	54.2	02.10.40
3	h	31.8	07.06.58
3	h	23.6	27.10.59
3	h	34.4	10.06.60
3	h	15.8	12.08.61
3	h	33	20.06.62
3	h	30	21.07.63
3	h	26.2	04.07.64
3	h	23.6	25.07.65
3	h	25.2	14.07.66
3	h	23.8	25.07.67
3	h	16.8	21.06.68
3	h	17.2	17.06.69
3	h	25	08.08.70
3	h	24.2	24.07.72
3	h	34.2	22.08.73
3	h	13	10.08.74
3	h	33.4	10.07.75
3	h	19	29.09.76
3	h	31.6	26.07.77
3	h	17.2	14.07.78
3	h	23.6	24.08.79
3	h	16.2	17.10.80
3	h	31.4	18.07.81
3	h	24.6	03.02.00
3	h	23.8	03.04.58
3	h	22.6	03.08.22
3	h	43.6	03.12.64
3	h	29	01.02.86
3	h	29.2	06.09.87
3	h	33.6	20.08.88
3	h	19.4	08.08.89
3	h	23.2	21.06.90
3	h	17.4	25.07.91
3	h	29.2	29.08.92
3	h	25	20.07.93
3	h	24.8	06.07.94
3	h	38.2	12.07.95
3	h	27.8	22.06.96
3	h	21.8	26.06.97
3	h	31.4	25.06.98
3	h	27.6	20.09.99
3	h	29.8	20.09.00
3	h	52.8	30.06.01
3	h	33	25.05.02
3	h	18.6	06.06.03
3	h	34	02.07.04
3	h	25.6	04.09.05
3	h	45.4	28.07.06
3	h	17.7	30.04.07
3	h	28.2	06.08.08
3	h	19.3	30.07.09
3	h	19	04.04.05
3	h	30.6	04.08.04
3	h	46.2	04.11.52
3	h	28.6	25.08.13
3	h	22.5	11.05.14
3	h	24.3	09.10.15
3	h	26.4	26.06.16
3	h	51	25.06.17
3	h	31.3	03.07.18
3	h	27.5	06.08.19
3	h	33.5	29.08.20
3	h	31.3	05.08.21
3	h	28.8	25.07.22
6	h	66	25.06.17
6	h	63.4	02.10.40
6	h	59.9	04.11.52
6	h	59.8	03.12.64
6	h	52.8	30.06.01
6	h	51.4	28.07.06
6	h	48.4	01.02.86
6	h	45.7	29.08.20
6	h	43.8	10.06.60
6	h	43.2	18.07.81
6	h	42.9	05.08.21
6	h	41.6	10.07.75
6	h	41.2	20.09.99
6	h	40.6	02.10.93
6	h	40	02.07.24
6	h	39.5	04.08.04
6	h	39	17.09.51
6	h	38.8	22.06.96
6	h	38.8	25.05.02
6	h	38.4	01.04.31
6	h	38.4	26.09.87
6	h	38.4	12.07.95
6	h	38.3	23.10.13
6	h	38.2	12.08.41
6	h	38.2	23.08.73
6	h	38	26.06.97
6	h	36.9	27.06.16
6	h	36.9	05.04.19
6	h	36.8	20.08.88
6	h	36.6	21.10.52
6	h	36.6	20.09.00
6	h	36.4	27.10.59
6	h	35.6	25.07.77
6	h	35.6	02.07.04
6	h	34.8	07.07.62
6	h	34.6	07.10.98
6	h	34.4	29.08.92
6	h	33.9	03.07.18
6	h	33.8	09.07.37
6	h	33.4	06.07.39
6	h	33.4	03.04.58
6	h	33.2	07.06.58
6	h	33	09.07.07
6	h	32	08.08.70
6	h	31.4	02.02.96
6	h	31.2	09.05.15
6	h	31	04.07.64
6	h	30.6	21.07.63
6	h	30.3	25.07.22
6	h	30.2	29.09.76
6	h	29.6	21.07.14
6	h	29.6	24.08.79
6	h	29.4	04.11.66
6	h	29	14.04.50
6	h	29	01.09.94
6	h	28.5	06.08.08
6	h	28.4	03.08.22
6	h	27.8	03.01.63
6	h	27.2	02.08.53
6	h	27	25.11.90
6	h	26.6	24.06.78
6	h	26	25.10.80
6	h	25.6	25.07.67
6	h	25.6	04.09.05
6	h	25	03.07.89
6	h	25	12.11.61
6	h	25	29.05.36
6	h	24.6	07.07.54
6	h	24.2	24.07.72
6	h	24	04.04.05
6	h	24	26.09.42
6	h	23.6	25.07.65
6	h	23.4	31.07.91
6	h	23.1	26.09.09
6	h	23	21.06.68
6	h	21.2	05.10.03
6	h	19.2	17.06.69
6	h	17.2	16.07.40
6	h	16	10.08.74
12	h	38.6	01.04.31
12	h	28.8	16.04.36
12	h	37.8	09.07.37
12	h	37	06.07.39
12	h	22.8	10.09.40
12	h	40.2	12.08.41
12	h	35	25.09.42
12	h	34.8	14.04.50
12	h	40.2	17.09.51
12	h	52	19.11.52
12	h	36.8	25.09.53
12	h	27.4	15.09.54
12	h	31.6	02.02.96
12	h	63	02.07.24
12	h	64	02.10.40
12	h	33.6	07.06.58
