3	
mm	Datum data
36,6	22.07.1928
25	29.05.1936
32	09.07.1937
28,4	02.07.1939
14	16.07.1940
26	12.08.1941
20,2	08.07.1942
28,3	28.07.1950
38,4	17.09.1951
31	20.08.1952
27,2	02.08.1953
22	10.08.1954
30,8	26.07.1955
23,2	08.06.1956
54,2	08.08.1957
31,8	07.06.1958
23,6	27.10.1959
34,4	10.06.1960
15,8	12.08.1961
33	20.06.1962
30	21.07.1963
26,2	04.07.1964
23,6	25.07.1965
25,2	14.07.1966
23,8	25.07.1967
16,8	21.06.1968
17,2	17.06.1969
25	08.08.1970
24,2	24.07.1972
34,2	22.08.1973
13	10.08.1974
33,4	10.07.1975
19	29.09.1976
31,6	26.07.1977
17,2	14.07.1978
23,6	24.08.1979
16,2	17.10.1980
31,4	18.07.1981
24,6	06.09.1982
23,8	22.05.1983
22,6	20.05.1984
43,6	05.08.1985
29	01.02.1986
29,2	06.09.1987
33,6	20.08.1988
19,4	08.08.1989
23,2	21.06.1990
17,4	25.07.1991
29,2	29.08.1992
25	20.07.1993
24,8	06.07.1994
38,2	12.07.1995
27,8	22.06.1996
21,8	26.06.1997
31,4	25.06.1998
27,6	20.09.1999
29,8	20.09.2000
52,8	30.06.2001
33	25.05.2002
18,6	06.06.2003
34	02.07.2004
25,6	04.09.2005
45,4	28.07.2006
17,7	30.04.2007
28,2	06.08.2008
19,3	30.07.2009
19	15.08.2010
30,6	18.09.2011
46,2	31.08.2012
28,6	25.08.2013
22,5	11.05.2014
24,3	09.10.2015
26,4	26.06.2016
51	25.06.2017
31,3	03.07.2018
27,5	06.08.2019
33,5	29.08.2020
31,3	05.08.2021
28,8	25.07.2022
