45	
mm	Datum data
14,8	16.07.1923
11	25.07.1967
10,6	06.07.1968
9,6	05.09.1969
16,4	31.07.1970
18,4	24.07.1972
24,4	23.08.1973
11,4	30.07.1974
11	10.07.1975
11,2	09.09.1976
10,2	26.07.1977
6	15.07.1978
12,4	01.06.1979
14,2	26.07.1980
22,2	06.08.1981
18	13.07.1982
13,6	10.08.1983
16,6	28.08.1984
24	15.07.1985
25,2	23.05.1986
18,8	31.05.1987
19,4	20.08.1988
15,8	10.07.1989
11,4	21.06.1990
15	25.07.1991
19,2	29.08.1992
14,2	20.07.1993
13,8	13.07.1994
25,4	12.07.1995
25,8	12.06.1996
14,8	12.06.1997
25,6	25.06.1998
14,8	21.06.1999
13,2	20.09.2000
30,4	30.06.2001
14,8	25.05.2002
13	17.07.2003
16,6	01.07.2004
24,8	04.09.2005
40,4	25.07.2006
16,3	30.04.2007
24,2	01.09.2008
18,2	30.07.2009
10,8	15.08.2010
14	18.09.2011
24,2	31.08.2012
16	02.05.2013
22	31.08.2014
18,8	08.10.2015
25,5	13.06.2016
34	13.07.2017
21,4	06.08.2018
26,9	06.08.2019
27,8	30.07.2020
17	13.07.2021
24,9	25.07.2022
