12	
mm	Datum data
38,6	22.07.1928
28,8	16.04.1936
37,8	09.07.1937
37	06.07.1939
22,8	10.09.1940
40,2	12.08.1941
35	25.09.1942
34,8	14.04.1950
40,2	17.09.1951
52	19.11.1952
36,8	25.09.1953
27,4	15.09.1954
31,6	26.07.1955
63	26.09.1956
64	08.08.1957
33,6	07.06.1958
48,6	27.10.1959
53,4	16.09.1960
39,8	12.11.1961
35,6	20.06.1962
45,6	17.07.1963
39	30.08.1964
24,4	25.07.1965
58,2	04.11.1966
30	07.11.1967
26,6	29.09.1968
29,4	14.01.1969
33	08.08.1970
24,2	24.07.1972
38,2	23.08.1973
20,6	10.08.1974
41,6	10.07.1975
36,8	30.10.1976
35,8	25.07.1977
43,2	24.06.1978
44	21.09.1979
40,6	17.10.1980
63,2	18.07.1981
30,6	31.07.1982
40	22.05.1983
35,8	25.03.1984
63,6	05.08.1985
86,8	31.01.1986
40,8	23.08.1987
39,4	12.10.1988
32,2	03.07.1989
39,6	25.11.1990
29,4	29.07.1991
35,8	29.08.1992
65,6	02.10.1993
38,2	01.09.1994
38,4	12.07.1995
54,8	22.06.1996
52,8	26.06.1997
45,8	07.10.1998
66,8	20.09.1999
43,2	20.09.2000
52,8	30.06.2001
40	25.05.2002
32,2	27.11.2003
37,2	02.07.2004
25,6	04.09.2005
51,4	28.07.2006
35,6	10.07.2007
37,5	12.04.2008
29,7	25.12.2009
30	15.08.2010
57,5	18.09.2011
69,3	31.08.2012
65,8	23.10.2013
44,3	06.11.2014
31,2	09.05.2015
48,9	05.08.2016
74,9	25.06.2017
60,3	28.10.2018
48,4	05.04.2019
56,9	06.12.2020
48,6	05.08.2021
30,3	25.07.2022
