30	
mm	Datum data
18	13.07.1950
12	17.09.1951
16	17.07.1952
27,6	26.07.1955
18	29.05.1956
16	08.08.1957
22	07.06.1958
21	20.06.1962
18	25.07.1965
10	25.07.1967
9,2	05.09.1969
14,6	21.08.1970
17,4	24.07.1972
21,4	23.08.1973
10,8	30.07.1974
7,6	10.07.1975
10	29.09.1976
7,4	26.07.1977
4,4	06.06.1978
9,6	01.06.1979
14	26.07.1980
21,4	06.08.1981
17,2	13.07.1982
12,4	10.08.1983
13,4	28.08.1984
23,6	15.07.1985
24,2	23.05.1986
16,6	31.05.1987
17,8	20.08.1988
15,4	27.08.1989
10,2	04.09.1990
12,2	25.07.1991
17,8	29.08.1992
14	20.07.1993
13	13.07.1994
18,6	12.07.1995
24,6	12.06.1996
14,8	12.06.1997
17,6	25.06.1998
13,2	21.06.1999
10,4	20.09.2000
29,4	30.06.2001
13	13.07.2002
13	17.07.2003
16,4	01.07.2004
24	04.09.2005
36,8	25.07.2006
15,7	30.04.2007
21,5	01.09.2008
15	30.07.2009
10,6	08.08.2010
12,6	18.09.2011
17,8	31.08.2012
14,8	02.05.2013
17,7	31.08.2014
17,3	08.06.2015
23	13.06.2016
25,5	25.06.2017
18,6	27.05.2018
26,9	06.08.2019
25,5	30.07.2020
16	13.07.2021
22,9	25.07.2022
